,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Code,Region,Income Group,School Closures,As of,Date,Number of confirmed cases at time of closure,Planned Reopening,Planned Length of Closure (Weeks),Closure extended?,Planned re-opening 2,Details of closure,"Reopening process started
(Y/N/School year ended)",Date reopening process started,Number of cases at re-opening,Total Weeks closed,Details of re-opening,Remote/online tuition?,Online,Radio,TV,Sending work home with students / providing hardcopies of materials,Distance curriculum available in multiple languages?,Details of language of materials,Parent guide?,Details of parent guidance,Education Emergency Plan?,National exams impacted?,National exams impacted? (Detail),Plans for Special Education? (Y/N),Special Education detail,Broader workplace closures?,Existing Cash Transfer Supplemented?,Details of Cash Transfer / social proection program,Other supports - Childcare,Other supports - Childcare (Detail),Other supports - Meals,Other supports - Meals (Details),Other supports - Other,Source,Source,Facebook Page,Official COVID Education Policy Document,Source for Re-opening
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,Yes,,18 March,3,Indefinitely,,,,Schools closed March 27 until further notice.,Yes,18 June,,,,"""Dads and moms, don't forget to remind the boys and girls to follow the educational program School at home. Every Tuesday, Thursday and Friday, from 5:00 p.m. to 6:00 p.m. on Equatorial Guinea Television."" (UNICEF EG Twitter)

Government has also created an online platform with materials organized by grade level. ",Yes,No,Yes,No,,,,,,,,,,,,,,,,,,https://www.guineaecuatorialpress.com/noticia.php?id=15128,https://escuelaencasa.gq/,https://twitter.com/UNICEFGuineaEcu,,
Eritrea,ERI,Sub-Saharan Africa,Low income,Yes,,27 March,12,Indefinitely,,,,No information as of March 30,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.africanews.com/2020/03/30/eritrea-missing-as-igad-leaders-forge-regional-coronavirus-plan//,,,,Teaching materials: https://coronapaaskemaet.alinea.dk/
Estonia,EST,Europe & Central Asia,High income,Yes,,12 March,27,Indefinitely,,,,All schools with the exception of kindergarten instructed to close as of March 12. ,Yes,15 May,,,,"""Estonia, the leading education nation in Europe (No 1. in PISA test in Europe), announced that it is humbled to share all of its digital education tools to support other countries’ education systems during the COVID-19 crisis. The list of tools that are internationally available are here: http://education-nation.99math.com/""",Yes,No,No,No,Yes,"Distance learning materials available in Estonian, Russian, and English. ",Yes,"Resources for parents available in Estonian, English, and Russian. ",,Yes,"""We decided to postpone the state exam period due to the emergency situation. Also, exams, tests and proficiency tests at the language level will not take place in an emergency."" (MoE, March 24)",,,,,,,,,,Wage subsidy; training/activation measures (Gentilini),"https://www.err.ee/1063202/esmaspaevast-on-koik-koolid-suletud-piiridel-taastub-kontroll

https://www.politico.eu/article/how-europe-is-responding-to-the-coronavirus-pandemic/

https://www.hm.ee/en

https://www.hm.ee/en/news/estonia-offers-its-digital-education-solutions-free-support-other-countries",,,,
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,Yes,,24 March,4,20 days,3,Yes,mid-June,Government implemented movement restriction on March 24th. ,No,,,,,None as of March 29,No,No,No,,,,,,,,,,,,,,,,,,,https://twitter.com/EswatiniGovern1,http://www.gov.sz/index.php/ministries-departments/search-and-menus-setup,https://www.facebook.com/pg/EswatiniGov/posts/?ref=page_internal,,Leaflet for staff-members: https://www.sst.dk/-/media/Udgivelser/2020/Corona/Genaabning/Skoler/Information-til-medarbejdere-paa-skoler-og-i-fritidsordninger.ashx?la=da&hash=D41D8869F541895BCB6220AC19D6294FAADC9A3C
Ethiopia,ETH,Sub-Saharan Africa,Low income,Yes,,16 March,5,30 March,2,Yes,15 April,"All primary and secondary schools are closed; higer ed institutions have transitioned to online instruction.

National state of emergency announced April 8th. Planned to stay in effect for 5 months. 

School closures initially extended until April 15. Closures later extended indefinitely. ",School year ended,,,,,"(From Professor in Ethiopia) Primary level students are advised to follow radio lessons; secondary level students are advised to follow television lessons that can be accessed from home through satellite tv; all universities were closed and students are requested to return home without any arrangements about how to engage them from home.

(From MoE) students are expected to do their part in preventing the disease at home without having to be distracted, while studying at home, reading their textbooks, and using Utelsat 8 west Frequency 11512 position vertical symbol rate 27500 Fed 7/8. We would like to remind you that parents should make the most of their time by attending classes and helping students stay focused on their education.",No,Yes,Yes,Yes,No,Take-home materials may be available in local language depending on normal curriculum. Broadcasts from MoE are currently available in Amharic. ,No,,,,,,,,,,,,,,,https://twitter.com/FMoHealth/status/1239477278737924097,https://twitter.com/PMEthiopia/status/1243495056360845312,https://www.facebook.com/fdremoe/,,
Faroe Islands,FRO,Europe & Central Asia,High income,No,19 March,,,,,,,,Yes,4 May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,FJI,East Asia & Pacific,Upper middle income,Yes,,19 March,1,Indefinitely,,,,"""On Thursday, Fiji’s Prime Minister Frank Bainimarama announced in a press conference that all schools and non-essential businesses in Lautoka, which is about 24km north of Nadi, would be closed until further notice""",No,,,,,No guidance as of 3.19,No,No,No,,,,,,,,,,,,,,,,,,,https://7news.com.au/lifestyle/health-wellbeing/coronavirus-arrives-in-fiji-prompting-school-closures-and-panic-buying-c-752869,,,https://planipolis.iiep.unesco.org/sites/planipolis/files/ressources/fiji_covid-19-response-budget-estimate-2019-2020.pdf,
Finland,FIN,Europe & Central Asia,High income,Yes,,17 March,272,13 April,4,,,"Pre-primary institutions encouraged to stay open in order to support working parents

Primary, secondary, and higher ed institutions closed. MoE encouraging distance learning for secondary and higher education. Also suggests arrangemetns will be made for those in need of special educaiton support services. 

""Finland's government will pass emergency legislation on Tuesday to close all its schools and universities from Wednesday among other measures in response to the spread of the coronavirus, Prime Minister Sanna Marin said on Monday."" (Aljazeera)",Yes,14 May,,,,"Distance learning will be arranged for secondary and higher education. No concrete guidance from MoE on this as of 3.19

""Schools will make any necessary decisions on special arrangements for each pupil separately."" (MoE, March 16)",,,,,,,,,,Yes,Some exams moved up by one week to complete before school closures implemented; Matriculation exams offered in condensed format,Yes,,,,,,,,,Unemloyment benefits; paid sick leave,"https://www.aljazeera.com/news/2020/03/toll-rises-coronavirus-tightens-global-grip-live-updates-200315231500487.html

https://minedu.fi/en/article/-/asset_publisher/valtioneuvoston-linjaus-suosituksista-varhaiskasvatuksen-esiopetuksen-perusopetuksen-lukio-ja-ammatillisen-koulutuksen-korkeakoulutuksen-vapaan-sivist",https://gemreportunesco.wordpress.com/2020/04/07/the-peruvian-education-system-seeking-quality-and-equity-during-covid-19-times/,,,
France,FRA,Europe & Central Asia,High income,Yes,,16 March,"2,876",Indefinitely,,,,"""From Monday, until further notice, nurseries, schools, middle schools, high schools, universities, will be closed. For a simple reason: Our children and young people, according to our scientists, are the ones that spread the virus the quickest, even if they have no symptoms""",Yes,11 May,,,Plans to reopen schools for primary school students in May. Children will return to school in staggered year groups. ,"Implementing ""Learning Nation"" program as of March 18th. ""France Télévisions, Radio France, Arte and National Education are mobilizing to provide teachers, students from their families with quality programs linked to school programs.

The programs broadcast on the air will thus be identifiable by the visual ""Learning Nation"". 

'My class at home' resources

Online resources available for parents and teachers. 

""All of these programs will also be accessible by podcast, streaming or replay on the ministry's websites or on the digital audiovisual sites and platforms. The Radio France application thus offers today a ""Learning Nation"" section including all the educational content of its channels."" (MoE)",Yes,Yes,Yes,No,No,Most distance learning materials available in French,Yes,Materials available in French and English,Yes (new),Yes,All national exams are canceled. They will be replaced by cumulative grades from the first quarters. ,,,Encouraged home-based work for anyone able,,,,,,,"Sick leave :Up to 20 days compensation for people in isolation; A transfer of Euro 1,500 will be provided to the self-employed and other SMEs as part of the solidarity fund; unemployment benefits (Gentilini)","https://www.reuters.com/article/us-health-coronavirus-france-macron/france-to-close-schools-to-curb-coronavirus-spread-macron-idUSKBN20Z3D4

https://www.education.gouv.fr/operation-nation-apprenante-303174

https://www.education.gouv.fr/ma-classe-la-maison-mise-en-oeuvre-de-la-continuite-pedagogique-289680

","https://www.education.gouv.fr/sites/default/files/2020-03/learn-more-about-insuring-educational-continuity--51966.pdf

https://etudiant.lefigaro.fr/article/bac-2020-toutes-les-epreuves-sont-remplacees-par-le-controle-continu_c3255968-74bd-11ea-94e3-c0cc05dea6b9/",,https://planipolis.iiep.unesco.org/sites/planipolis/files/ressources/france_covid19_circul.pdf,https://www.theguardian.com/world/2020/apr/21/lockdown-eased-netherlands-and-france-plan-to-re-open-primary-schools
French Polynesia,PYF,East Asia & Pacific,High income,Yes,,19 March,6,Indefinitely,,,,,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.rnz.co.nz/international/pacific-news/411961/covid-19-french-polynesia-closes-schools-this-week,,,,
Gabon,GAB,Sub-Saharan Africa,Upper middle income,Yes,,14 March,1,30 March,2,Yes,Indefinitely,Closed after one student was tested positive after coming back from France.,No information,,,,,Distance learning available through television and online for secondary students. ,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,"https://afrique.tv5monde.com/information/coronavirus-le-gabon-ferme-ses-ecoles-et-limite-les-visas-touristiques

https://www.ouest-france.fr/sante/virus/coronavirus/coronavirus-le-gabon-ferme-ses-ecoles-et-limite-les-visas-touristiques-6779370",http://www.education-nationale.gouv.ga/9-actualites/,,,
"Gambia, The",GMB,Sub-Saharan Africa,Low income,Yes,,18 March,1,21 days,3,Yes,,,No,,,,,"""The Ministry of Basic and Secondary Education wishes to inform the public especially parents, caregivers and students, that starting Monday 23rd March 2020, radio and television stations all over the country will broadcast and air lessons between the hours of 10am - 12pm and 4pm - 6pm daily.""

Daily remote learning schedule now available for April - June using radio, television, and online modalities.

MoE and UNICEF have set up mobile feedback platforms through mobile phones for citizens to provide feedback on distance learning paltforms ",Yes,Yes,Yes,No,,,,,,Yes,"WAEC Cancelled, 20 March https://www.dailytrust.com.ng/covid-19-waec-postpones-2020-wassce.html",,,,,,,,,,,"https://allafrica.com/stories/202003190223.html

https://www.news24.com/Africa/News/gambia-announces-first-coronavirus-case-20200318","http://www.edugambia.gm/

https://twitter.com/MobseTheGambia/status/1253501115557126144/photo/1",https://twitter.com/MobseTheGambia,,
Georgia,GEO,Europe & Central Asia,Upper middle income,Yes,,11 March,23,1 April,3,,,School vacation extended for all levels of schooling and distance learning programs are being implemented through interagency collaborations,School year ended,,,,,"""Ministry of Education, Science, Culture and Sport of Georgia has posted more than 15 Microsoft distance learning support for public schools administration, teachers, and students through a Prime Ministerial-led Interagency Coordination Council to prevent coronavirus. The productIt offers opportunities to help them conduct interactive online lessons.""

Various materials available online for teachers, studnets, and families including virtual classrooms and electronic libraries. 

"" Georgian First Channel has launched an educational project – Teleschool (Teleskola). Within the framework of the joint project of the Ministry of Education, Science, Culture and Sport of Georgia and Georgian First Channel, the lesson timetable will cover all the subjects that are included in the National Curriculum. Experienced teachers will conduct the lessons. All transmissions will be provided by a gesture translator. In its first phase, lessons will be conducted for ethnic minorities in Georgian as a second language, Azeri and Armenian languages, while other subjects in Azerbaijani and Armenian languages will be gradually added.""",Yes,No,Yes,No,Yes,"Televised lessons will be broadcast in Geogian, Armenian, and Azeri. Implemented online learning tools for teachers to make native language instruction available. ",Yes,Online support available for parents in Georgian.,,,,Yes,Televised lessons will include Sign Language interpreters. ,,,,,,,,,"
https://agenda.ge/en/news/2020/742",https://1tv.ge/en/news/georgian-first-channel-kicks-off-the-educational-project-teleschool-teleskola/,https://www.facebook.com/emis.ge/?fref=mentions&__xts__[0]=68.ARDkKwZA2TXuX8sWgNCi1V27qgqy1bZndrpAqv4ymGJA0Q5DwAEXRFuhs4BVGZvQF7dlQhuQjSvJt3iOb6U8jwDOe5iLO35wyBjQNDPH3M1KQhXdXJLO7kaThpvKBh6NBCvIEAPk0dCnmTCU8K3KJx-ehkvedTvk4UlkCskjHBY2khGzYxotLTDNdfMNF5uG3zqUN4tPtfLo0z0OoUeiU0_F0-IBCQtn7XqYbdxqJIO6FJnYYHrq6ipLQZYJyZ9JXE1ayhuaB-Mvj2v576WtXUz2W7P3LmczQhztq3TBhNfZiib5WAqJ-OTuDyzQ_2fVErwPqyQ3-wwZyUglX5_xCQ5keg&__tn__=K-R,,
Germany,DEU,Europe & Central Asia,High income,Yes (some areas),,16 March,"3,062",20 April,5,Yes,4 May,"On March 13th, the decision was made for most schools to close through April 20th",Yes,4 May,,,,Schools designing individual solutions and the MoE launched 'School Cloud' online learning platform to supplement individual school offerings. ,Yes,No,No,No,,,Yes,Information about online platform available in German.,,,,,,,,,Yes,"Subdized reduced work time; ""Parents who lose income due to COVID-19 can get easier access to child benefits. In addition, simplified process for a child grant (Kinderzuschlag) is put in place, with one-month income proof instead of 6 months. Payment amount is up to Euro 185/child/month until September."" (Gentilini)",,,Subsidized social insurance contributions; paid sick leave; cash transfer for freelancers/self-employed,"https://www.reuters.com/article/us-health-coronavirus-germany-schools/german-state-of-bavaria-closes-schools-to-slow-coronavirus-epidemic-dpa-idUSKBN2100SA

",https://www.bmbf.de/de/karliczek-bund-unterstuetzt-in-krise-mit-digitaler-lerninfrastruktur-11242.html,https://de-de.facebook.com/bmbf.de/,,
Ghana,GHA,Sub-Saharan Africa,Lower middle income,Yes,,15 March,4,Indefinitely,,,,"All levels of schooling closed except ""“BECE [Basic Education Certificate Examination] and WASSCE [West African Secondary School Certificate Examination] candidates will be allowed to attend school to prepare for their examinations but with the required social distancing protocols""",No information,,,,,"""The Ministry of Education, in collaboration with the Ministry of Communication, has been tasked with to roll out distance learning programmes""

Ghana Education Service offering televised lessons.",No,No,Yes,No,,,,,,Yes,"pre-tertiary students that have already registered for basic and secondary school exams will be allowed to attend revision classes.

“BECE [Basic Education Certificate Examination] and WASSCE [West African Secondary School Certificate Examination] candidates will be allowed to attend school to prepare for their examinations but with the required social distancing protocols,” 

WAEC Cancelled, 20 March https://www.dailytrust.com.ng/covid-19-waec-postpones-2020-wassce.html",,,,,,,,,,"Government will cover water bills of all Ghanaians for 3months.
Health workers won’t pay taxes for 3 months and additional insurance is set up for them. 
Government will also offer to assistance to local companies to produce protective equipment","https://www.myjoyonline.com/news/national/livestream-akufo-addo-provides-latest-updates-on-coronavirus/

https://ghanahealthservice.org/covid19/cancelled.php

https://twitter.com/DSD_GHS?ref_src=twsrc%5Etfw%7Ctwcamp%5Eembeddedtimeline%7Ctwterm%5Eprofile%3ADSD_GHS&ref_url=https%3A%2F%2Fghanahealthservice.org%2Fcovid19%2F

","https://twitter.com/samirasawlani/status/1247107123336658945

https://twitter.com/gheduservice",https://www.facebook.com/MinistryofEducationGhana/,,
Gibraltar,GIB,Europe & Central Asia,High income,Yes (some areas),,23 March,6,Indefinitely,,,,"Will no longer deliver national curriculum as of March 23rd, schools will transition to being child care facilitites for families who would otherwise leave their children with grandparents. This is due in part to the very low attendnace in schools over the past two weeks. 

""In the light of this, we have decided that, as from next Monday, schools will continue to provide a service to the community primarily by providing a safe environment for children of all workers who are not otherwise able to make suitable childcare provision without involving relatives over the age of 70 years.""",Yes,26 May,,,,,No,No,No,No,,,,,,,,,,,,,Yes,"schools will continue to provide a service to the community primarily by providing a safe environment for children of all workers who are not otherwise able to make suitable childcare provision without involving relatives over the age of 70 years.""",,,,"https://www.facebook.com/gibraltargovernment/posts/3086577408054201?__xts__%5B0%5D=68.ARBNFcMUORTFk4zR0xqL9InhJr_qCsi_VZTc8dQsANddvZAoClmNX4NinB97eGvgOaHIBayL4mYZWnDLWETmcF84K3B6_E4jMAfxuqMTq3K7WbhHLgfCm-zTNquYqWcfmdePJYpOTvCijpM6Kgq1iv7r2tEBOP77tEldKvnI__ZdqhflpiU2Wx-73xpixZbsHutDGMMGMTMyQcNzOFY8C1JuKWB40zw4QKsrEybusX7dGzu5n_MhTtICAaTcL6zMeNzMwym_UI59cVC1oScuOgbZO382ZsHHncWHRNn-n2VlGGUpZEk6z1Sp1Bk75UrtmFBKd0KoQtTvTScLTYgPrw&__tn__=K-R

https://www.facebook.com/gibraltargovernment/",,,,
Greece,GRC,Europe & Central Asia,High income,Yes,,11 March,89,2 weeks,2,Yes,April 10,"""By Joint Ministerial Decision, it was decided to ban the educational operation of all educational structures, public and private, across the country for the next 14 days. The measure concerns schools, universities and other educational structures overseen by the Ministry of Education."" ",Yes,18 May,,,,MoE implementing online distance learning programs. Comprehensive online resources. Also implementing television programmes. ,Yes,No,Yes,No,Yes,All available in Greek; some also available in English,Yes,Resources for parents online; mostly in Greek. ,,,,Yes,"(From MoE distance learning site) ""The site enables textbooks to be automatically spoken through high quality synthetic voice to assist people with visual impairments as well as support services for the hearing impaired.""",,,,,,,,Cash transfer to employees of countries closed due to the virus; unemployment benefits,"

https://www.minedu.gov.gr/news/44404-18-03-20-den-xanetai-to-earino-eksamino-borei-na-kalyfthei-i-yli-sta-aei-meso-tis-eks-apostaseos-ekpaidefsis-i-akadimaiki-koinotita-na-vgei-brosta-se-afti-ti-megali-krisi-2

https://www.minedu.gov.gr/news/44337-13-03-20-eimaste-etoimoi-ksekina-i-eks-apostaseos-ekpaidefsi-stirizoume-tin-ekpaideftiki-koinotita-me-kainotoma-ergaleia

https://www.garda.com/crisis24/news-alerts/321366/greece-government-closes-schools-and-universities-nationwide-due-to-covid-19-outbreak-march-11-update-4

",http://photodentro.edu.gr/aggregator/,https://www.facebook.com/MinEduGR/,,
Greenland,GRL,Europe & Central Asia,High income,Yes,,23 March,1,2 weeks,2,Yes,,Annoucement made March 18th that all primary schools would close on March 23rd for 2 weeks. ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.thelocal.dk/20200318/greenland-halts-all-air-traffic-to-island-to-limit-coronavirus-spread,,,,
Grenada,GRD,Latin America & Caribbean,Upper middle income,Yes,,15 March,,,,,,,Yes,8 June,,,,Online learning available,Yes,No,No,No,,,,,,Yes,"CXC announced changes in timing, length, and format ofCaribbean Secondary Examination Certificate (CSEC) and the Caribbean Advanced Proficiency Examination (CAPE) on March 26th. Exams will be held in July and will be administered in an e-testing format to allow results to be obtained more quickly. Content may also be shortened. 

Primary level exams canceled. ",,,,,,,,,,,https://www.cxc.org/may-june-strategy-2020/,,,,
Guam,GUM,East Asia & Pacific,High income,Yes,,16 March,5,2 weeks,2,,,,School year ended,,,,,Providing online instruction by subject. https://docs.google.com/a/gdoe.net/viewer?a=v&pid=sites&srcid=Z2RvZS5uZXR8Z2RvZXxneDozZTM5NTNlYTFhYzEzNjJj,Yes,No,No,No,,,,,,,,,,,,,,,Yes,"The Guam Department of Education is working to provide meals during the school closures. The GDOE has submitted a CNP Waiver Request for Seamless Summer Option to the USDA.

The GDOE Grab-N-Go School Meals Program delivers no cost meals to children ages 18 and under, from both public and private schools, every weekday from 11am-1pm (except holidays and spring break which is April 6-10)",,"https://sites.google.com/a/gdoe.net/gdoe/

https://www.rnz.co.nz/news/pacific/412092/coronavirus-sixth-case-in-tahiti-two-in-new-caledonia","https://docs.google.com/a/gdoe.net/viewer?a=v&pid=sites&srcid=Z2RvZS5uZXR8Z2RvZXxneDozZTM5NTNlYTFhYzEzNjJj

https://sites.google.com/a/gdoe.net/gdoe/

https://twitter.com/guamdoe",https://www.facebook.com/GDOEInestudionCHamoru/,,
Guatemala,GTM,Latin America & Caribbean,Upper middle income,Yes,,16 March,6,21 days,3,,,Decision to close after first death on March 15,No,,,,,"Lessons on broadcast daily on television and radio daily.

""Do not miss the #AprendoEnCasa @Mineduc On the Government channel at 10:00 and 15:00 hrs. and channel 13 from 9:00 a.m. Monday to Friday and listen to it by @TGWdigital 107.3.""

MoE encouraging online lessons with tutors. ",No,Yes,Yes,Yes,No,Materials available in Spanish.,Yes,Parent guides to homebased learning available online. Materials are in Spanish. ,Yes (new),,,,,,,,,,Yes,Moving from school-based meals to take-home rations,Special transfer are planned to seniors and families with children (Gentilini),"https://thehill.com/changing-america/resilience/refugees/488118-guatemala-blocks-us-deportations-in-bid-to-prevent

https://www.devex.com/news/wfp-repackages-efforts-to-reach-hungry-children-as-covid-19-closes-schools-96878",http://www.mineduc.gob.gt/PrevencionCoronavirus/index.html,https://www.facebook.com/MineducGuate/,https://planipolis.iiep.unesco.org/sites/planipolis/files/ressources/guatemala_orientaciones-a-tutores-prevencion-covid-19.pdf,
Guinea,GIN,Sub-Saharan Africa,Low income,Yes,,,,,,,,,No information,,,,,"Distance learning is mentioned in announcement from the MoE on April 3, but this did not include details. ",No,No,No,No,,,,,Yes (new),,,,,,,,,,,,Government of Guinea will cover water & electricty costs for the next 3 months. Public transportation will be free for the next 3 months. Rent prices will be frozen until December 2020. Prices on pharmaceutical products &basic necessities are also frozen.,https://twitter.com/samirasawlani/status/1247409229813755905,,,https://planipolis.iiep.unesco.org/sites/planipolis/files/ressources/guinee_mesrs-communique-no1-plan-de-riposte-covid-19.pdf,
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,Yes,,19 March,,,,,,,No,,,,,Nothing as of March 20th,No,No,No,,,,,,,,,,,,,,,,,,,,https://gw.usmission.gov/covid-19-information/,,,
Guyana,GUY,Latin America & Caribbean,Upper middle income,Yes,,16 March,7,2 weeks,2,Yes,April 20,All schools closed. Paid private lessons prohibited. Closure extended by an additional week on March 23rd. Schools now planned to re-open after the Easter break concludes on April 20th. ,No,,,,,"Creating opportunities for learning online as well as through television and radio

""Radio broadcasts of the Interactive Radio Instruction continue daily on NCN Radio and Radio Mahdia, Bartica, Essequibo, Mabaruma, Lethem and Radio Paiwomak.",Yes,Yes,Yes,No,Yes,"Radio broadcasts available in multiple languages, including indigenous languages. ",Yes,Homebased learning resources for parents available online. All resources available in English. ,,Yes,"CXC announced changes in timing, length, and format ofCaribbean Secondary Examination Certificate (CSEC) and the Caribbean Advanced Proficiency Examination (CAPE) on March 26th. Exams will be held in July and will be administered in an e-testing format to allow results to be obtained more quickly. Content may also be shortened. ",,,,,,,,,,"""Vulnerable students and those with diminished access to education will also be catered to through social impact programmes that the Ministry is currently working on.""","https://dpi.gov.gy/moe-to-engage-online-learning-amid-covid-19-concerns/



https://education.gov.gy/web/

https://www.kaieteurnewsonline.com/2020/03/17/in-wake-of-confirmed-coronavirus-cases-guyana-slowly-grinds-to-a-halt-several-entities-temporarily-suspend-services/

https://www.miamiherald.com/news/nation-world/world/americas/haiti/article241249651.html","https://www.cxc.org/may-june-strategy-2020/

https://www.education.gov.gy/web/index.php/mediacenter/external-sources/item/5670-covid-19-tips-to-keep-your-children-engaged-at-home",https://www.facebook.com/MinistryOfEducationGuyana/?hc_ref=ARSsp6IB3CGqlG217nyLc3kWJprEtaXdajT8XKw9EpL0UYItEgQLMW3x9Eb3VYrS1P8&fref=nf&__xts__[0]=68.ARBiPRl7QyJC3R13zzf4yqGICbAMOiKdxOFCJF5HAYLYiDU5EP6DSB2J4LTt4JXBirj2CEVOMFdNlnN6ZE5UegG1EoH6BzJF1XhqsDouL5dSML-oOf3bg3O95ts5hIFyNstrsKkLXu2d-RMoNtS1qmEsxqTwyxMhUh9PtVqPm_Ttkie-JIOjDT3mJ1aTq2RT-xBwTZFsPSZxJB7WLp6z_zmEPg50FUVHApqDiq2g5plYc3i_1T5RGa1FMFAKAaGTOUyanIWBB3HQaHaKXAk4xMkGgDKnyPRdLfLEA12fO4Cd4awbsRCgI81MN1JOPibULFtI1I9ToVjTGVTtb_eap0Grvw&__tn__=kC-R,,
Haiti,HTI,Latin America & Caribbean,Low income,Yes,,20 March,2,Indefinitely,,,,Schools to close indefinitely after first two confirmed cases. ,No,,,,,"MoE is in the process of designing online learning opportunities. Aim to have them available in 2 weeks. (Posted March 23)

""While being aware of the digital divide in Haiti which can limit the impact of this action, the ministry remains convinced that digital technology cannot be overlooked, a source of opportunity, at a time of the development of artificial intelligence and virtual classes that can compensate for the lack of resources in countries of the South, such as Haiti.""

Distance learning available online and television. ",Yes,No,Yes,No,,,,,,,,,,,,,,,Yes,MoE distributing meals to families in need. ,,https://www.miamiherald.com/news/nation-world/world/americas/haiti/article241212621.html,,https://www.facebook.com/menfphaiti/,,
Honduras,HND,Latin America & Caribbean,Lower middle income,Yes,,12 March,2,2 weeks,2,,,All schools (public and private) ordered to close for 2 weeks and universities are suspended indefinitely.,No,,,,,"In the framework of the emergency decreed by the Government of the Republic To prevent the spread of #COVID -19 in the country, students receive their classes through the television signal of the Honduran Channel @stvetelebasica",Yes,No,Yes,No,No,Available in Spanish.,No,,,,,,,,,,,,Yes,"""Agribusiness unites to help the Honduran people in this HEALTH EMERGENCY, bringing to each home fruits, vegetables and basic grains during this quarantine that the country is experiencing today."" (This is led by the Health Department)",,"https://www.reuters.com/article/us-health-coronavirus-argentina/latin-american-countries-ramp-up-travel-bans-school-closures-over-coronavirus-idUSKBN20Z23G

",https://twitter.com/Educacion_HN?ref_src=twsrc%5Etfw%7Ctwcamp%5Eembeddedtimeline%7Ctwterm%5Eprofile%3AEducacion_HN&ref_url=https%3A%2F%2Fwww.se.gob.hn%2F,https://www.facebook.com/SecretariaEducacionHN/,,
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,Yes,,3 Feb,,20 April,11,,,,Yes,27 May,,,,,,Yes,No,No,No,,,,,,,,,,,,,,,,One-off cash payment to all citizens; utility/financial obligation support (Gentilini),https://www.theguardian.com/world/2020/mar/03/the-longest-holiday-parents-coping-with-coronavirus-school-closures-in-east-asia,,,,
Hungary,HUN,Europe & Central Asia,High income,Yes,,13 March,32,Indefinitely,,,,"Making tools available for teachers to engage in remote teaching and made all textbooks downloadable. Providing some suggestions for resources for distance learning, but this doesn't seem to be officially organized through the MoE. ",Yes,2 June,,,,"""The government decided on the introduction of a digital distance (outside the classroom) working procedure for schools. The decision extends to all public education institutions, not including nursery schools, pedagogical assistance service institutions and institutions providing pedagogical services.""",Yes,No,No,No,No,,,,,,,,,,,,Yes,Extended maternity leave benefits for mothers currently on maternity leave. ,Yes,"""Providing school meals for children in a given settlement is a municipal responsibility, regardless of the institution type. The kitchens used for cooking school meals will continue to remain available; however, meals cannot be served for children in school buildings. Therefore, in the case of children where justified by circumstances, meals will have to be provided in the most optimal locally possible manner (for instance, delivery)."" (From MoE)",Subsidized social insurance contributions; Labor regulation and loan repayment moratorium (Gentilini),"https://www.reuters.com/article/us-health-coronavirus-hungary-death/hungary-confirms-first-death-from-coronavirus-idUSKBN2120QD

https://www.oktatas.hu/kozneveles/ajanlas_tantermen_kivuli_digitalis_munkarendhez/?fbclid=IwAR2bjbh2jKwBLBuu2a9gtyTG1uEpyr5WPpy21nAA34vEyZPpA-QO7pAa3DU",https://www.kormany.hu/en/ministry-of-human-resources/news/ministry-of-human-capacities-new-working-procedure-in-public-education-and-vocational-training-institutions,https://www.facebook.com/kormanyzat,,
Iceland,ISL,Europe & Central Asia,High income,Yes (partial),,13 March,117,4 weeks,4,,,"Closed all secondary schools and universities, special measures implemented for primary school. ",Yes,4 May,,,,,,,,,,,,,,,,,,,,,,,,,"Planned measures to increase consumption via benefits (Gentilini)

From Government of Iceland releasing $1.6 billion response package: wage subsidies; state-backed bridging laons for companies; deferral of tax payments; financial support for tourism sector; one-off child benefit payment; access to private pension savings; refund of VAT for construction projects; public projects accelerated. ",https://www.usnews.com/news/world/articles/2020-03-13/iceland-restricts-public-gatherings-closes-schools,"https://www.government.is/news/article/2020/03/13/Stricter-measures-to-slow-down-the-spread-of-COVID-19-/

https://www.government.is/news/article/?newsid=afa0d410-6b79-11ea-9462-005056bc4d74",,,
